Datetime,Tweet Id,original_text,geo,retweet_count,reply_count,like_count
2022-03-10 03:47:36+00:00,1501766698176815109,"🚨🚨🚨Which one will it be?

Poor Russia will get the blame but the US corrupt elite are the ones that deserve it.

We know they are already working the vaccine angle.

Bill Gates has his preference.

Smallpox
Bubonic plague
Tuberculosis
Ebola
MERS-CoV
SARA
Nipah
Zika
Monkeypox https://t.co/R7tlKjXP2o",,0,0,0
2022-03-10 03:40:26+00:00,1501764893229285381,"When I was younger , I thought of people who say ""they make diseases in labs"" total nutcases .....
Now  one of those ... 

So basically  HIV, Ebola were all are made in labs to kill as many people as possible? https://t.co/Nm3P4Euz4B",,0,0,1
2022-03-10 03:29:15+00:00,1501762077421047809,HAVE STAYED BEHIND NIKOS KAZANTZAKIS GOATEES VALUE PROPOSITION MUCUND WATCH BARNY MILWA GENGHIS KHAN BBQ FART ISOFLAVONES MARVEL CLASSICAL EBOLA THANKSGIVING FART DOOFIE SMELLS BIOINFORMATICS JAPAN AIRDROP AZERO POPOV BUILD GOLD SPIKE NFT DISCOVERY SEO ULTGG GHEEN,,0,0,0
2022-03-10 03:27:20+00:00,1501761593817718785,"But lucky for me I've got A Bola!.. Not like not like that it- it's called A “Bola Gun” and it shoots out the cords...

I also have contracted Ebola",,0,0,0
2022-03-10 03:11:16+00:00,1501757550815027203,my momma got ebola,,0,0,0
2022-03-10 02:57:08+00:00,1501753997006610437,"I have lived through some major events. 

- 9/11
- SARS
- Global recession
- Ebola 
- Covid",,27,13,141
2022-03-10 02:42:42+00:00,1501750361970946050,Hi I’m Troy McClure you may remember me from such films as “Ebola  why my eyeballs fell out to my sockets” and “TB damn my arms hurt.” https://t.co/Ym7RW7S5Eu,,1,0,1
2022-03-10 02:35:46+00:00,1501748619757641732,"Pictured: The Soviet-era Russian laboratory where Putin's 'bioweapon arsenal of smallpox, anthrax and Ebola is being kept'
网址链接：https://t.co/VdxBqT6ImC https://t.co/iQuyI60QSj",,52,3,76
2022-03-10 02:29:50+00:00,1501747123867598850,Ebola haemorrhagic fever. https://t.co/8scTiQoUa5,,0,0,0
2022-03-10 02:19:01+00:00,1501744401483460610,"Situation Update: Fasten Your Seatbelt For The Truth! Pentagon Funded Bioweapons All Over Ukraine! Anthrax, Plague Infected Fleas, Ebola, Mass Extinction Of Humanity! Food Shortages Coming! Putin Ended Petro Dollar In Russia! - We The People News
 https://t.co/GSHLkazwk5",,3,1,20
2022-03-10 01:55:44+00:00,1501738542162411520,You can kill the Ebola virus before it enters your system by simply following these few steps. https://t.co/akmc2lGGTL #Ebola PennNewsFile,,0,0,0
2022-03-10 01:53:48+00:00,1501738056939880448,"""In the wake of diaster, it can be hard for people to focus on their dreams."" -Sarah Aronson

When I was a teen and read my dad's books about plagues, influenza, and ebola, I never thought I'd be studying medicine in the midst of a pandemic.",,0,2,9
2022-03-10 01:48:22+00:00,1501736689789714438,"Can you imagine what the world consciousness would be if one or more of those bio labs were breached??? Anthrax, Ebola infecting all of Europe and maybe the world!!! https://t.co/MoLNM7g2dt",,28,0,17
2022-03-10 01:12:59+00:00,1501727786436009985,"Stop #coronavirus RT!

Call for the resignation of Tedros Adhanom Ghebreyesus, #WHO Director General
⬇⬇✏
https://t.co/NkaCorRIb5

#coronaviruschina #Pndahugger

#coronachan #corona_chan #コロナちゃん #コロナウィルスちゃん #Ebola #ebolachan #エボラちゃん
https://t.co/LlU679nFvC",,0,0,0
2022-03-10 01:06:09+00:00,1501726065244327938,"Ebola, for one thing. https://t.co/E7Eo3hcQaQ",,0,0,0
2022-03-10 01:06:01+00:00,1501726031467712517,Can we start a go fund me to help Russia turn those 3 US Bio labs into glass? That way they can’t use the airborne Ebola on us that BILL GATES keeps giggling and smiling and rubbing his hands in excitement that it is what’s coming next.,,0,1,1
2022-03-10 01:04:20+00:00,1501725606718971909,"PENTAGON FUNDED BIOWEAPONS ALL OVER UKRAINE, ANTHRAX, PLAGUE INFECTED FLEAS, EBOLA, MASS EXTINCTION OF HUMANITY, FOOD SHORTAGES COMING, PUTIN ENDED PETRO DOLLAR IN RUSSIA, QFS, GCR UPDATE, JUDY BYINGTON, TRUCKER CONVOY TO DC ARRIVED, RUSSIAN SOLDIERS.
https://t.co/MTVbCVewWY",,1,0,1
2022-03-10 00:56:35+00:00,1501723660003987470,i feel like i have ebola,,0,0,3
2022-03-10 00:48:32+00:00,1501721633446572032,my arm itches I think i have Ebola,,0,0,0
2022-03-10 00:43:13+00:00,1501720294893002753,Are you awake yet ? https://t.co/tzBvzCRkW4,,0,0,0
2022-03-10 00:42:15+00:00,1501720053246480386,i’m sick nigga no ebola need a ricola,,0,0,3
2022-03-10 00:38:36+00:00,1501719131049054208,Imagine a nice Ebola outbreak in the Russian military 😍😍😍😍😍😍 #fuckrussia #RussianWarCrimes,,0,0,0
2022-03-10 00:31:12+00:00,1501717269159858181,Bummer imported Ebola to force American companies to find a cure. https://t.co/m9tq7DSndK,,0,0,0
2022-03-10 00:13:35+00:00,1501712838762528768,Did you know that pigeons ranked first in causing Ebola virus disease?,,0,0,0
2022-03-10 00:09:13+00:00,1501711739003584516,How will the world end? Flying ebola.,,0,0,0
2022-03-10 00:04:29+00:00,1501710548769017859,Peyton Manning the Vicious died from Ebola in 1447.,,0,0,0
2022-03-10 00:04:05+00:00,1501710446100897795,W.H.O. &amp; U.N. exposed in the Congo sex abuse Ebola crisis scandal https://t.co/IF32w6cJds,,0,0,0
2022-03-10 00:04:05+00:00,1501710444699996161,W.H.O. &amp; U.N. exposed in the Congo sex abuse Ebola crisis scandal https://t.co/WTFD87ce4n,,0,0,0
2022-03-10 00:04:05+00:00,1501710444662243329,W.H.O. &amp; U.N. exposed in the Congo sex abuse Ebola crisis scandal https://t.co/TYdRnDn11K,,0,0,0
2022-03-10 00:04:04+00:00,1501710444066652162,W.H.O. &amp; U.N. exposed in the Congo sex abuse Ebola crisis scandal https://t.co/DcsI85bjqY,,0,0,0
2022-03-10 00:04:04+00:00,1501710443685249028,W.H.O. &amp; U.N. exposed in the Congo sex abuse Ebola crisis scandal https://t.co/86KVp8NRns,,0,0,0
2022-03-10 00:04:04+00:00,1501710443152396293,W.H.O. &amp; U.N. exposed in the Congo sex abuse Ebola crisis scandal https://t.co/Ydy2J0uNaD,,1,0,1
2022-03-10 00:04:04+00:00,1501710442292342791,W.H.O. &amp; U.N. exposed in the Congo sex abuse Ebola crisis scandal https://t.co/i9pV8EZLBc,,0,0,0
2022-03-10 00:04:04+00:00,1501710442283950087,W.H.O. &amp; U.N. exposed in the Congo sex abuse Ebola crisis scandal https://t.co/k0j7xwrPa3,,0,0,0
2022-03-10 00:04:04+00:00,1501710440669323264,W.H.O. &amp; U.N. exposed in the Congo sex abuse Ebola crisis scandal https://t.co/7GJygXKIc4,,0,0,0
2022-03-10 00:04:04+00:00,1501710440413368320,W.H.O. &amp; U.N. exposed in the Congo sex abuse Ebola crisis scandal https://t.co/Log0eTddox,,0,0,0
2022-03-10 00:04:03+00:00,1501710439683694603,W.H.O. &amp; U.N. exposed in the Congo sex abuse Ebola crisis scandal https://t.co/O44VKT4hvw,,0,0,0
2022-03-10 00:04:01+00:00,1501710431215362050,"https://t.co/NOgI5tDw1Z…

“Remdesivir trials during the 2018 West African Ebola outbreak had to be discontinued because death rate exceeded 50%. Yet, in 2020, Anthony Fauci directed that Remdesivir was to be the drug hospitals use to treat COVID-19.",,0,0,0
2022-03-09 23:59:28+00:00,1501709286254444544,"PENTAGON FUNDED BIOWEAPONS OVER UKRAINE, ANTHRAX, PLAGUE INFECTED FLEAS, EBOLA, MASS EXTINCTION HUMANITY, FOOD SHORT, PUTIN ENDED $ QFS, GCR TRUCKER CONVOY DC ARRIVED, MSM FAKE NEWS GOLD BACKED CURRENCYRUSSIAN SOLDIERS RESCUING CHILDREN TRAFFICKED BY BIDEN https://t.co/q1Icup36TE",,0,0,0
2022-03-09 23:41:31+00:00,1501704769169244161,Get ready for some airborne Ebola. https://t.co/sIVxDQ3OHr,,0,0,0
2022-03-09 23:23:40+00:00,1501700274238345217,"As the world spirals toward chaos, Amy Cooper fights to stop the evolution of a deadly virus. When her beliefs disagree with the Administration’s agenda, she is put on trial. #virus #ebola #coronavirus #religion #persecution Midnight Hour: https://t.co/DIojcTgmor",,0,0,0
2022-03-09 23:13:26+00:00,1501697699728572425,"Hey #GH, while you're doing Hong Kong CatIII shit and John Waters shit, why don't you have someone eat a dog turd or contract ebola and start an outbreak through burgers. Maybe have a sumo wrestler roll over in bed and crush his girlfriend to death if this is where you're headed.",,0,1,0
2022-03-09 23:09:43+00:00,1501696764650393605,you ask were Fauci is maybe in Reston Virginia flubbing Ebola virus again in the USA.  after that flub why was he in charge of Covid 19 ?,,0,0,0
2022-03-09 23:09:13+00:00,1501696640272547840,How will the world end? The wrath of ebola.,,0,0,0
2022-03-09 23:02:06+00:00,1501694847597568004,"#NOW “I’ve been in this field for 14 years, including some of the biggest humanitarian crises of the last 20 years – the tsunami in Japan, the Ebola outbreak, the Syrian refugee crisis – but what we’re dealing with right now is really a historical ... https://t.co/jg6wVous70",,0,0,0
2022-03-09 22:53:44+00:00,1501692744040865792,"We are to blame for the emergence of diseases like HIV/AIDS, Ebola, and COVID-19 due to our collective disregard for the integrity of natural ecosystems. wionews com",{'place_id': 'c79a0302b462ea2f'},0,0,0
2022-03-09 22:50:22+00:00,1501691894375469058,"A pandemic in history: The Ebola epidemic of recent years had 28,600 reported cases and killed 11,325 people.",,0,0,0
